ARGENTINIA 23.20.0 — NPC ROSTER / CONTRATO DE ASSETS

Ruta: argentinia/assets/images/npcs/
Formato: PNG 1:1; recomendado 1024x1024; sin texto incrustado.

ARCHIVO      | PERSONAJE                 | COLORES | ARQUETIPO   | RATING
-------------|---------------------------|---------|-------------|-------
npc_001.png | La Turca de Boedo         | U, R    | spells      | 1310
npc_002.png | El Vasco del Pasaje       | G, W    | counters    | 1340
npc_003.png | La Colo de Once           | R, W    | aggro       | 1320
npc_004.png | Don Ernesto               | B, G    | graveyard   | 1360
npc_005.png | El Ruso del 60            | U, B    | control     | 1390
npc_006.png | La Piba del Puente        | R, G    | aggro       | 1350
npc_007.png | El Melli                  | W, B    | tokens      | 1370
npc_008.png | La Doctora                | U, W    | control     | 1410
npc_009.png | El Gringo del Puerto      | G, U    | ramp        | 1380
npc_010.png | La China del Kiosco       | B, R    | sacrifice   | 1400
npc_011.png | El Flaco de Barracas      | U, R    | tempo       | 1365
npc_012.png | La Tana de Almagro        | W, B    | sacrifice   | 1420
npc_013.png | El Pelado del Andén       | R, G    | ramp        | 1395
npc_014.png | La Negra del Pasillo      | U, B    | graveyard   | 1430
npc_015.png | El Pibe de la Ochava      | R, W    | tokens      | 1335
npc_016.png | La Gallega                | G, W    | tokens      | 1385
npc_017.png | El Cordobés               | R, G    | midrange    | 1415
npc_018.png | La Mendocina              | G, U    | counters    | 1405
npc_019.png | El Zurdo de Flores        | U, R    | spells      | 1440
npc_020.png | La Petisa del Fondo       | B, R    | aggro       | 1375
npc_021.png | El Profe                  | U, W    | tempo       | 1450
npc_022.png | La Mona de Pompeya        | B, G    | sacrifice   | 1425
npc_023.png | El Gallego del Taller     | W, R    | artifacts   | 1390
npc_024.png | La Piba del 152           | U, B    | tempo       | 1410
npc_025.png | El Viejo del Club         | G, W    | midrange    | 1460
npc_026.png | La Rusa de Chacarita      | B, R    | graveyard   | 1445
npc_027.png | El Chino del Bajo         | U, G    | artifacts   | 1435
npc_028.png | La Colo del Parque        | R, G    | counters    | 1400
npc_029.png | El Vasco de la Terminal   | W, U    | control     | 1475
npc_030.png | La Tana del Once          | W, B    | tokens      | 1455
npc_031.png | El Negro de la Esquina    | B, G    | midrange    | 1465
npc_032.png | La Flaca del Subte        | U, R    | tempo       | 1480
npc_033.png | El Pibe del Galpón        | R, W    | artifacts   | 1430
npc_034.png | La Gallega del Mercado    | G, W    | typal       | 1470
npc_035.png | El Turco de Constitución  | B, R    | sacrifice   | 1490
npc_036.png | La Cordobesa              | R, G    | ramp        | 1460
npc_037.png | El Loco del Puente        | U, B    | control     | 1500
npc_038.png | La Piba de la Costanera   | G, U    | exile       | 1485
npc_039.png | El Viejo del Pasaje       | W, B    | control     | 1510
npc_040.png | La Colo del Puerto        | R, U    | spells      | 1520
